wE	aE	wRK	aRK
-0.047704	0.199418	-0.047703	0.199415
-0.047898	0.199413	-0.047898	0.199411
-0.048092	0.199408	-0.048092	0.199406
-0.048287	0.199403	-0.048286	0.199401
-0.048481	0.199399	-0.048481	0.199396
-0.048675	0.199394	-0.048675	0.199391
-0.048870	0.199389	-0.048869	0.199386
-0.049064	0.199384	-0.049063	0.199381
-0.049258	0.199379	-0.049258	0.199377
-0.049453	0.199374	-0.049452	0.199372
-0.049647	0.199369	-0.049646	0.199367
-0.049841	0.199364	-0.049841	0.199362
-0.050036	0.199359	-0.050035	0.199357
-0.050230	0.199354	-0.050229	0.199352
-0.050424	0.199349	-0.050423	0.199347
-0.050618	0.199344	-0.050618	0.199342
-0.050813	0.199339	-0.050812	0.199337
-0.051007	0.199334	-0.051006	0.199331
-0.051201	0.199329	-0.051200	0.199326
-0.051395	0.199324	-0.051395	0.199321
-0.051590	0.199319	-0.051589	0.199316
-0.051784	0.199313	-0.051783	0.199311
-0.051978	0.199308	-0.051977	0.199306
-0.052172	0.199303	-0.052172	0.199300
-0.052367	0.199298	-0.052366	0.199295
-0.052561	0.199293	-0.052560	0.199290
-0.052755	0.199287	-0.052754	0.199285
-0.052949	0.199282	-0.052949	0.199279
-0.053143	0.199277	-0.053143	0.199274
-0.053338	0.199272	-0.053337	0.199269
-0.053532	0.199266	-0.053531	0.199264
-0.053726	0.199261	-0.053725	0.199258
-0.053920	0.199255	-0.053919	0.199253
-0.054114	0.199250	-0.054114	0.199247
-0.054309	0.199245	-0.054308	0.199242
-0.054503	0.199239	-0.054502	0.199236
-0.054697	0.199234	-0.054696	0.199231
-0.054891	0.199228	-0.054890	0.199226
-0.055085	0.199223	-0.055084	0.199220
-0.055279	0.199217	-0.055279	0.199215
-0.055473	0.199212	-0.055473	0.199209
-0.055668	0.199206	-0.055667	0.199203
-0.055862	0.199201	-0.055861	0.199198
-0.056056	0.199195	-0.056055	0.199192
-0.056250	0.199189	-0.056249	0.199187
-0.056444	0.199184	-0.056443	0.199181
-0.056638	0.199178	-0.056637	0.199175
-0.056832	0.199173	-0.056832	0.199170
-0.057026	0.199167	-0.057026	0.199164
-0.057220	0.199161	-0.057220	0.199158
-0.057415	0.199155	-0.057414	0.199153
-0.057609	0.199150	-0.057608	0.199147
-0.057803	0.199144	-0.057802	0.199141
-0.057997	0.199138	-0.057996	0.199135
-0.058191	0.199132	-0.058190	0.199129
-0.058385	0.199127	-0.058384	0.199124
-0.058579	0.199121	-0.058578	0.199118
-0.058773	0.199115	-0.058772	0.199112
-0.058967	0.199109	-0.058966	0.199106
-0.059161	0.199103	-0.059160	0.199100
-0.059355	0.199097	-0.059354	0.199094
-0.059549	0.199091	-0.059548	0.199088
-0.059743	0.199085	-0.059742	0.199082
-0.059937	0.199079	-0.059936	0.199076
-0.060131	0.199073	-0.060130	0.199070
-0.060325	0.199067	-0.060324	0.199064
-0.060519	0.199061	-0.060518	0.199058
-0.060713	0.199055	-0.060712	0.199052
-0.060907	0.199049	-0.060906	0.199046
-0.061101	0.199043	-0.061100	0.199040
-0.061295	0.199037	-0.061294	0.199034
-0.061489	0.199031	-0.061488	0.199028
-0.061683	0.199025	-0.061682	0.199022
-0.061877	0.199018	-0.061876	0.199015
-0.062071	0.199012	-0.062070	0.199009
-0.062265	0.199006	-0.062264	0.199003
-0.062459	0.199000	-0.062458	0.198997
-0.062653	0.198994	-0.062652	0.198990
-0.062847	0.198987	-0.062846	0.198984
-0.063041	0.198981	-0.063040	0.198978
-0.063235	0.198975	-0.063234	0.198972
-0.063428	0.198968	-0.063427	0.198965
-0.063622	0.198962	-0.063621	0.198959
-0.063816	0.198956	-0.063815	0.198953
-0.064010	0.198949	-0.064009	0.198946
-0.064204	0.198943	-0.064203	0.198940
-0.064398	0.198937	-0.064397	0.198933
-0.064592	0.198930	-0.064591	0.198927
-0.064786	0.198924	-0.064785	0.198920
-0.064980	0.198917	-0.064978	0.198914
-0.065173	0.198911	-0.065172	0.198907
-0.065367	0.198904	-0.065366	0.198901
-0.065561	0.198898	-0.065560	0.198894
-0.065755	0.198891	-0.065754	0.198888
-0.065949	0.198884	-0.065948	0.198881
-0.066143	0.198878	-0.066141	0.198875
-0.066336	0.198871	-0.066335	0.198868
-0.066530	0.198865	-0.066529	0.198861
-0.066724	0.198858	-0.066723	0.198855
-0.066918	0.198851	-0.066917	0.198848
-0.067112	0.198845	-0.067110	0.198841
-0.067305	0.198838	-0.067304	0.198835
-0.067499	0.198831	-0.067498	0.198828
-0.067693	0.198824	-0.067692	0.198821
-0.067887	0.198818	-0.067886	0.198814
-0.068080	0.198811	-0.068079	0.198807
-0.068274	0.198804	-0.068273	0.198801
-0.068468	0.198797	-0.068467	0.198794
-0.068662	0.198790	-0.068660	0.198787
-0.068855	0.198783	-0.068854	0.198780
-0.069049	0.198777	-0.069048	0.198773
-0.069243	0.198770	-0.069242	0.198766
-0.069437	0.198763	-0.069435	0.198759
-0.069630	0.198756	-0.069629	0.198752
-0.069824	0.198749	-0.069823	0.198745
-0.070018	0.198742	-0.070016	0.198738
-0.070211	0.198735	-0.070210	0.198731
-0.070405	0.198728	-0.070404	0.198724
-0.070599	0.198721	-0.070597	0.198717
-0.070792	0.198714	-0.070791	0.198710
-0.070986	0.198707	-0.070985	0.198703
-0.071180	0.198700	-0.071178	0.198696
-0.071373	0.198692	-0.071372	0.198689
-0.071567	0.198685	-0.071566	0.198682
-0.071761	0.198678	-0.071759	0.198675
-0.071954	0.198671	-0.071953	0.198667
